carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Saloon,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,66100,km,CLS 500,MERCEDES-BENZ CLS 500,null,car,null,null,null
Saloon,Red,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,67400,km,E 55 AMG Avantgarde,MERCEDES-BENZ E 55 AMG Avantgarde,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,McLAREN,null,1200,km,MP4-12C Coupé 3.8 V8,McLAREN MP4-12C Coupé 3.8 V8,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,43300,km,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,null,car,null,null,null
Convertible,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,25100,km,SL 320,MERCEDES-BENZ SL 320,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,ROLLS-ROYCE,null,99300,km,Silver Spirit Mk. I,ROLLS-ROYCE Silver Spirit Mk. I,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MASERATI,null,21500,km,Quattroporte 4.2,MASERATI Quattroporte 4.2,null,car,null,null,null
Saloon,Red,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,20100,km,E 63 AMG CGI,MERCEDES-BENZ E 63 AMG CGI,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,NSU,null,82804,km,TT,NSU TT,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,LAMBORGHINI,null,24000,km,Gallardo LP560-4 Coupé,LAMBORGHINI Gallardo LP560-4 Coupé,null,car,null,null,null
Saloon,White,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,62300,km,S 500 4Matic,MERCEDES-BENZ S 500 4Matic,null,car,null,null,null
Station Wagon,Black,Neu,null,null,Zuzwil,null,MERCEDES-BENZ,null,500,km,R 500 4Matic,MERCEDES-BENZ R 500 4Matic,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,FERRARI,null,45000,km,612,FERRARI 612,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,LAMBORGHINI,null,55000,km,Diablo 5.7,LAMBORGHINI Diablo 5.7,null,car,null,null,null
Convertible,Gold,Occasion,null,null,Zuzwil,null,BMW,null,78900,km,M3,BMW M3,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,8000,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
Other,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,65400,km,611 DS,MERCEDES-BENZ 611 DS,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,49000,km,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,null,car,null,null,null
Saloon,Green,Occasion,null,null,Zuzwil,null,BMW,null,33600,km,M5,BMW M5,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,MASERATI,null,45000,km,GranTurismo S,MASERATI GranTurismo S,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,23800,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,RENAULT,null,222300,km,Alpine A310 V6,RENAULT Alpine A310 V6,null,car,null,null,null
SUV,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,20800,km,ML 500,MERCEDES-BENZ ML 500,null,car,null,null,null
Station Wagon,Silver,Occasion,null,null,Zuzwil,null,AUDI,null,34000,km,RS6 Avant quattro,AUDI RS6 Avant quattro,null,car,null,null,null
Saloon,White,Occasion,null,null,Zuzwil,null,AUDI,null,95300,km,A4 3.0 V6,AUDI A4 3.0 V6,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,TALBOT,null,40100,km,Sunbeam Lotus,TALBOT Sunbeam Lotus,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,61000,km,CLK 320 Sport,MERCEDES-BENZ CLK 320 Sport,null,car,null,null,null
SUV,Black,Occasion,null,null,Zuzwil,null,PORSCHE,null,2900,km,Cayenne Turbo Techart Magnum Kit,PORSCHE Cayenne Turbo Techart Magnum Kit,null,car,null,null,null
Station Wagon,Silver,Occasion,null,null,Zuzwil,null,AUDI,null,29300,km,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,null,car,null,null,null
Saloon,White,Occasion,null,null,Zuzwil,null,ROLLS-ROYCE,null,54000,km,Phantom 6.7 V12,ROLLS-ROYCE Phantom 6.7 V12,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,MG,null,48800,km,C GT,MG MGC GT,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,PORSCHE,null,49900,km,911 GT2,PORSCHE 911 GT2,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,31900,km,E 320 Elégance 4-Matic,MERCEDES-BENZ E 320 Elégance 4-Matic,null,car,null,null,null
Other,Silver,Occasion,null,null,Zuzwil,null,CITROEN,null,80500,km,2CV6 Charleston,CITROEN 2CV6 Charleston,null,car,null,null,null
Coupé,Black,Oldtimer,null,null,Basel,null,ROLLS-ROYCE,null,32000,km,CORNICHE II Coupé,ROLLS-ROYCE CORNICHE II Coupé,null,car,null,null,null
Coupé,Purple,Occasion,null,null,Zuzwil,null,JAGUAR,null,5300,km,D-Type XKD525,JAGUAR D-Type XKD525,null,car,null,null,null
Coupé,Green,Occasion,null,null,Zuzwil,null,FERRARI,null,14500,km,575M NOVITEC,FERRARI 575M NOVITEC,null,car,null,null,null
Convertible,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,41000,km,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,null,car,null,null,null
Convertible,Blue,Occasion,null,null,Zuzwil,null,VW,null,27000,km,Eos 2.0 FSI T,VW Eos 2.0 FSI T,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,FERRARI,null,52800,km,456 GTA,FERRARI 456 GTA,null,car,null,null,null
Saloon,Purple,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,67400,km,E 50 AMG Avantgarde,MERCEDES-BENZ E 50 AMG Avantgarde,null,car,null,null,null
Saloon,White,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,37500,km,CLS 63 AMG,MERCEDES-BENZ CLS 63 AMG,null,car,null,null,null
Station Wagon,Green,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,44000,km,E 420 Elégance,MERCEDES-BENZ E 420 Elégance,null,car,null,null,null
Convertible,Gray,Occasion,null,null,Zuzwil,null,FERRARI,null,41000,km,F355 GTS,FERRARI F355 GTS,null,car,null,null,null
Coupé,White,Occasion,null,null,Zuzwil,null,JAGUAR,null,25000,km,XJ 220,JAGUAR XJ 220,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Zuzwil,null,FERRARI,null,55800,km,F360 Spider,FERRARI F360 Spider,null,car,null,null,null
SUV,Silver,Occasion,null,null,Zuzwil,null,LAND ROVER,null,55800,km,Discovery 3.9,LAND ROVER Discovery 3.9,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,JAGUAR,null,161400,km,XJ 4.0 Sovereign,JAGUAR XJ 4.0 Sovereign,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,LAMBORGHINI,null,9500,km,Murciélago LP670-4 SV Cpé,LAMBORGHINI Murciélago LP670-4 SV Cpé,null,car,null,null,null
Convertible,White,Occasion,null,null,Zuzwil,null,MAZDA,null,6900,km,MX-5 1.8i 16V Confort,MAZDA MX-5 1.8i 16V Confort,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Zuzwil,null,FIAT,null,120000,km,124 Spider CSA Abarth,FIAT 124 Spider CSA Abarth,null,car,null,null,null
Station Wagon,White,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,10400,km,CLS 500,MERCEDES-BENZ CLS 500,null,car,null,null,null
Saloon,White,Occasion,null,null,Zuzwil,null,BMW,null,110600,km,320d xDrive M-Sportpaket,BMW 320d xDrive M-Sportpaket,null,car,null,null,null
Saloon,Gray,Occasion,null,null,Zuzwil,null,AUDI,null,54500,km,S6 quattro 4.2,AUDI S6 quattro 4.2,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,34000,km,SL 65 AMG BLACK SERIES,MERCEDES-BENZ SL 65 AMG BLACK SERIES,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,27600,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,PORSCHE,null,47000,km,924,PORSCHE 924,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,BENTLEY,null,20000,km,Continental Supersports Conv.,BENTLEY Continental Supersports Conv.,null,car,null,null,null
Saloon,Gray,Occasion,null,null,Zuzwil,null,BMW,null,238500,km,323 323i,BMW 323 323i,null,car,null,null,null
SUV,Green,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,13300,km,ML 63 AMG 4Matic,MERCEDES-BENZ ML 63 AMG 4Matic,null,car,null,null,null
Other,Yellow,Occasion,null,null,Zuzwil,null,DAEWOO,null,103000,km,Tacuma 2000i CDX,DAEWOO Tacuma 2000i CDX,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,PORSCHE,null,127850,km,911 Turbo,PORSCHE 911 Turbo,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,ALFA ROMEO,null,18400,km,GTV 2000 Bertone,ALFA ROMEO GTV 2000 Bertone,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,FERRARI,null,29000,km,F355 Berlinetta,FERRARI F355 Berlinetta,null,car,null,null,null
Coupé,Purple,Occasion,null,null,Porrentruy,null,LAMBORGHINI,null,44500,km,Diablo 5.7 SV,LAMBORGHINI Diablo 5.7 SV,null,car,null,null,null
Saloon,White,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,99000,km,A 150 Classic,MERCEDES-BENZ A 150 Classic,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,1500,km,S 500,MERCEDES-BENZ S 500,null,car,null,null,null
Station Wagon,Blue,Occasion,null,null,Zuzwil,null,AUDI,null,57500,km,RS4 Avant quattro,AUDI RS4 Avant quattro,null,car,null,null,null
Convertible,Black,Oldtimer,null,null,Basel,null,ROLLS-ROYCE,null,70000,km,CORNICHE Convertible,ROLLS-ROYCE CORNICHE Convertible,null,car,null,null,null
Saloon,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,9900,km,S 320 CDI,MERCEDES-BENZ S 320 CDI,null,car,null,null,null
Convertible,Red,Occasion,null,null,Zuzwil,null,PORSCHE,null,9900,km,911 Turbo S Cabrio,PORSCHE 911 Turbo S Cabrio,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,BMW,null,99800,km,525xi,BMW 525xi,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,AUDI,null,35100,km,A8 4.2 quattro,AUDI A8 4.2 quattro,null,car,null,null,null
Saloon,Yellow,Occasion,null,null,Zuzwil,null,BENTLEY,null,35000,km,Continental FlyingSpur6.0,BENTLEY Continental FlyingSpur6.0,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,LAMBORGHINI,null,13500,km,Murciélago 6.2 Coupé,LAMBORGHINI Murciélago 6.2 Coupé,null,car,null,null,null
Station Wagon,Red,Occasion,null,null,Zuzwil,null,AUDI,null,112400,km,RS6 Avant 5.0 V10 quattro 730PS,AUDI RS6 Avant 5.0 V10 quattro 730PS,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,FERRARI,null,22500,km,575M,FERRARI 575M,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,FERRARI,null,113800,km,612,FERRARI 612,null,car,null,null,null
Saloon,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,83900,km,E 320 Elégance 4-Matic,MERCEDES-BENZ E 320 Elégance 4-Matic,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,BMW,null,18300,km,740iL,BMW 740iL,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MASERATI,null,58900,km,Quattroporte 4.2 Sport GT,MASERATI Quattroporte 4.2 Sport GT,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,70900,km,SL 320,MERCEDES-BENZ SL 320,null,car,null,null,null
SUV,Green,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,16500,km,ML 63 AMG 4Matic,MERCEDES-BENZ ML 63 AMG 4Matic,null,car,null,null,null
Coupé,Red,Oldtimer,null,null,Zuzwil,null,MARCOS,null,85000,km,1600 GT,MARCOS 1600 GT,null,car,null,null,null
Convertible,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,14500,km,SL 600,MERCEDES-BENZ SL 600,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,LANCIA,null,130300,km,Delta HF Integrale Evo 4V,LANCIA Delta HF Integrale Evo 4V,null,car,null,null,null
Convertible,White,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,43000,km,SL 600,MERCEDES-BENZ SL 600,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,HONDA,null,186000,km,Accord Coupé V6 3.0i VTEC,HONDA Accord Coupé V6 3.0i VTEC,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,TRIUMPH,null,12800,km,Dolomite Sprint,TRIUMPH Dolomite Sprint,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,VOLVO,null,145000,km,S60 2.4T,VOLVO S60 2.4T,null,car,null,null,null
Convertible,Green,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,33400,km,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,null,car,null,null,null
Saloon,Red,Occasion,null,null,Zuzwil,null,JAGUAR,null,44200,km,S-Type 4.0 V8,JAGUAR S-Type 4.0 V8,null,car,null,null,null
Coupé,Black,Oldtimer,null,null,Zuzwil,null,LAMBORGHINI,null,48000,km,Espada GT 400 Serie 3,LAMBORGHINI Espada GT 400 Serie 3,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,33613,km,SL 65 AMG,MERCEDES-BENZ SL 65 AMG,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,156300,km,500 SE,MERCEDES-BENZ 500 SE,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,JAGUAR,null,69200,km,S-Type 4.0 V8,JAGUAR S-Type 4.0 V8,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,129700,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,MG,null,2500,km,METRO 6R4 Gruppe B,MG METRO 6R4 Gruppe B,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,152000,km,190 E 2.5-16 ABS,MERCEDES-BENZ 190 E 2.5-16 ABS,null,car,null,null,null
Convertible,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,70400,km,SLK 350,MERCEDES-BENZ SLK 350,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,RENAULT,null,177000,km,DAUPHINE GORDINI,RENAULT DAUPHINE GORDINI,null,car,null,null,null
Convertible,Gray,Occasion,null,null,Zuzwil,null,LOTUS,null,26800,km,Super Seven HKT,LOTUS Super Seven HKT,null,car,null,null,null
Station Wagon,Silver,Occasion,null,null,Zuzwil,null,TOYOTA,null,144000,km,Corolla 2.0 D4D L.Terra,TOYOTA Corolla 2.0 D4D L.Terra,null,car,null,null,null
SUV,Red,Occasion,null,null,Zuzwil,null,LAND ROVER,null,90400,km,Range Rover 4.4 V8 HSE,LAND ROVER Range Rover 4.4 V8 HSE,null,car,null,null,null
Coupé,Red,Neu,null,null,Zuzwil,null,PORSCHE,null,100,km,911 Turbo S,PORSCHE 911 Turbo S,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,BENTLEY,null,42300,km,Arnage Green Label,BENTLEY Arnage Green Label,null,car,null,null,null
Saloon,Green,Occasion,null,null,Zuzwil,null,AUDI,null,34800,km,S3 2.0 TFSI quattro,AUDI S3 2.0 TFSI quattro,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,PORSCHE,null,44600,km,911 GT2,PORSCHE 911 GT2,null,car,null,null,null
Coupé,Red,Occasion,null,null,Zuzwil,null,FERRARI,null,28000,km,575M,FERRARI 575M,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,AUDI,null,101800,km,A8 4.2 quattro,AUDI A8 4.2 quattro,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Porrentruy,null,ALFA ROMEO,null,23900,km,8C,ALFA ROMEO 8C,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,FERRARI,null,53600,km,F355 Berlinetta,FERRARI F355 Berlinetta,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,13200,km,S 63 AMG,MERCEDES-BENZ S 63 AMG,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,BMW,null,33600,km,M5,BMW M5,null,car,null,null,null
Other,Black,Occasion,null,null,Zuzwil,null,VW,null,71700,km,Touran 1.4 TSI Trend,VW Touran 1.4 TSI Trend,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,FERRARI,null,28900,km,599 GTB HGTE,FERRARI 599 GTB HGTE,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,108100,km,SL 600,MERCEDES-BENZ SL 600,null,car,null,null,null
Convertible,Red,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,23000,km,SL 600,MERCEDES-BENZ SL 600,null,car,null,null,null
Station Wagon,Red,Occasion,null,null,Zuzwil,null,AUDI,null,38000,km,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,PORSCHE,null,42500,km,911 GT3,PORSCHE 911 GT3,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,23900,km,E 63 AMG S 4Matic,MERCEDES-BENZ E 63 AMG S 4Matic,null,car,null,null,null
SUV,Red,Occasion,null,null,Zuzwil,null,PORSCHE,null,79000,km,Cayenne Turbo,PORSCHE Cayenne Turbo,null,car,null,null,null
Saloon,White,Occasion,null,null,Zuzwil,null,BENTLEY,null,85700,km,ARNAGE Red Label,BENTLEY ARNAGE Red Label,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,BMW,null,33900,km,735i,BMW 735i,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,VW,null,37800,km,Phaeton 6.0 W12 4Motion,VW Phaeton 6.0 W12 4Motion,null,car,null,null,null
Coupé,Gray,Oldtimer,null,null,Zuzwil,null,RENAULT,null,34900,km,Alpine A110 1600S VC,RENAULT Alpine A110 1600S VC,null,car,null,null,null
SUV,Black,Occasion,null,null,Zuzwil,null,BMW,null,21800,km,X5 4.6is,BMW X5 4.6is,null,car,null,null,null
Convertible,Blue,Occasion,null,null,Zuzwil,null,BMW,null,49600,km,M3,BMW M3,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,BMW,null,77500,km,335i,BMW 335i,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,AUDI,null,26300,km,A8 4.2 quattro,AUDI A8 4.2 quattro,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,500,km,C 63 AMG BLACK SERIES,MERCEDES-BENZ C 63 AMG BLACK SERIES,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,FERRARI,null,18200,km,456M GTA,FERRARI 456M GTA,null,car,null,null,null
Saloon,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,206000,km,E 500 Limited,MERCEDES-BENZ E 500 Limited,null,car,null,null,null
Coupé,Green,Occasion,null,null,Zuzwil,null,BMW,null,211000,km,323 Alpina Look,BMW 323 Alpina Look,null,car,null,null,null
Other,Silver,Occasion,null,null,Zuzwil,null,RENAULT,null,61200,km,Clio 3.0 Sport V6,RENAULT Clio 3.0 Sport V6,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,75100,km,CL 500,MERCEDES-BENZ CL 500,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,LINCOLN,null,119600,km,Continental,LINCOLN Continental,null,car,null,null,null
Station Wagon,Silver,Occasion,null,null,Zuzwil,null,AUDI,null,26300,km,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,null,car,null,null,null
Station Wagon,Red,Occasion,null,null,Zuzwil,null,AUDI,null,89000,km,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,SEAT,null,53300,km,Leon 2.0 TSI FR,SEAT Leon 2.0 TSI FR,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,13900,km,SL 600,MERCEDES-BENZ SL 600,null,car,null,null,null
Coupé,Black,Occasion,null,null,Sursee,null,PORSCHE,null,6300,km,911 GT3 RS,PORSCHE 911 GT3 RS,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,VOLVO,null,27900,km,C70 T5,VOLVO C70 T5,null,car,null,null,null
Coupé,Silver,Oldtimer,null,null,Zuzwil,null,RENAULT,null,42940,km,ALPINE 1600 VF,RENAULT ALPINE 1600 VF,null,car,null,null,null
Saloon,Red,Occasion,null,null,Zuzwil,null,BENTLEY,null,60100,km,Turbo R,BENTLEY Turbo R,null,car,null,null,null
Convertible,Red,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,36800,km,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,null,car,null,null,null
Saloon,Gray,Occasion,null,null,Zuzwil,null,VW,null,119000,km,Phaeton 4.2 V8 4Motion,VW Phaeton 4.2 V8 4Motion,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,FIAT,null,80000,km,131 Racing / Sport,FIAT 131 Racing / Sport,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,21400,km,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,LAMBORGHINI,null,19300,km,Gallardo LP570-4 Coupé SL,LAMBORGHINI Gallardo LP570-4 Coupé SL,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,PORSCHE,null,114000,km,924 Turbo,PORSCHE 924 Turbo,null,car,null,null,null
Coupé,Yellow,Occasion,null,null,Zuzwil,null,FERRARI,null,49000,km,456M GT,FERRARI 456M GT,null,car,null,null,null
SUV,Black,Occasion,null,null,Zuzwil,null,PORSCHE,null,18200,km,Cayenne Turbo,PORSCHE Cayenne Turbo,null,car,null,null,null
Convertible,Blue,Occasion,null,null,Zuzwil,null,TRIUMPH,null,38000,km,Spitfire MK IV,TRIUMPH Spitfire MK IV,null,car,null,null,null
Station Wagon,Black,Occasion,null,null,Zuzwil,null,AUDI,null,6000,km,RS6 Avant 4.0 TFSI V8 qu,AUDI RS6 Avant 4.0 TFSI V8 qu,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,CHEVROLET,null,27700,km,CORVETTE,CHEVROLET CORVETTE,null,car,null,null,null
Saloon,Red,Occasion,null,null,Zuzwil,null,JAGUAR,null,95100,km,XJR 4.0 V8 S/C,JAGUAR XJR 4.0 V8 S/C,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,LAMBORGHINI,null,18000,km,Gallardo LP570-4 Coupé SL,LAMBORGHINI Gallardo LP570-4 Coupé SL,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,PORSCHE,null,91000,km,911 Carrera RS Clubsport/993 GT2,PORSCHE 911 Carrera RS Clubsport/993 GT2,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,40300,km,S 65 AMG L,MERCEDES-BENZ S 65 AMG L,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,77000,km,CLS 55 AMG,MERCEDES-BENZ CLS 55 AMG,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,SUBARU,null,161500,km,Impreza 2.5T WRX,SUBARU Impreza 2.5T WRX,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,RENAULT,null,172800,km,R5 Alpine Turbo,RENAULT R5 Alpine Turbo,null,car,null,null,null
Coupé,Red,Occasion,null,null,Zuzwil,null,PORSCHE,null,96000,km,911 Carrera 4 Ruf Turbo BTR 2 420 PS,PORSCHE 911 Carrera 4 Ruf Turbo BTR 2 420 PS,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,FERRARI,null,42600,km,F360 Modena Berlinetta,FERRARI F360 Modena Berlinetta,null,car,null,null,null
Saloon,Gray,Occasion,null,null,Zuzwil,null,JAGUAR,null,32900,km,S-Type 4.2 V8 S/C R,JAGUAR S-Type 4.2 V8 S/C R,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,118200,km,C 180 Esprit,MERCEDES-BENZ C 180 Esprit,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,FERRARI,null,12000,km,F12 Berlinetta,FERRARI F12 Berlinetta,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,96500,km,S 55 AMG,MERCEDES-BENZ S 55 AMG,null,car,null,null,null
Station Wagon,Gray,Occasion,null,null,Zuzwil,null,AUDI,null,38500,km,RS6 Avant quattro,AUDI RS6 Avant quattro,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Sursee,null,MERCEDES-BENZ,null,1000,km,300SL Roadster,MERCEDES-BENZ 300SL Roadster,null,car,null,null,null
Other,Black,Occasion,null,null,Zuzwil,null,RENAULT,null,159700,km,R5 1400 Alpine Turbo,RENAULT R5 1400 Alpine Turbo,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,AUDI,null,1350,km,RS4 4.2 V8 quattro,AUDI RS4 4.2 V8 quattro,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,AUDI,null,67700,km,A6 2.4,AUDI A6 2.4,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,AUDI,null,65000,km,R8 Coupé 4.2,AUDI R8 Coupé 4.2,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,BMW,null,125900,km,525i,BMW 525i,null,car,null,null,null
